classifier,method,metric,mean,std
LR,original,acc,83.2461,0.0
LR,original,f1,82.1322,0.0
LR,original,auc,81.4146,0.0
LR,great,acc,79.0576,0.0
LR,great,f1,72.7064,0.0
LR,great,auc,77.1382,0.0
LR,chatgpt,acc,70.6806,0.0
LR,chatgpt,f1,73.0452,0.0
LR,chatgpt,auc,79.7886,0.0
LR,gemini,acc,80.6283,0.0
LR,gemini,f1,80.7126,0.0
LR,gemini,auc,79.8699,0.0
DT,original,acc,89.3194,0.2565
DT,original,f1,88.9779,0.2942
DT,original,auc,90.9268,0.632
DT,great,acc,71.3089,1.7646
DT,great,f1,69.4875,1.5887
DT,great,auc,53.8374,1.3125
DT,chatgpt,acc,61.3613,0.6946
DT,chatgpt,f1,64.8116,0.6351
DT,chatgpt,auc,64.574,0.9419
DT,gemini,acc,81.3613,0.4188
DT,gemini,f1,81.6688,0.4119
DT,gemini,auc,77.161,0.7285
RF,original,acc,87.0157,0.513
RF,original,f1,86.6594,0.4968
RF,original,auc,95.4553,0.1602
RF,great,acc,76.4398,0.0
RF,great,f1,72.2807,0.2029
RF,great,auc,69.3854,0.6245
RF,chatgpt,acc,63.6649,1.5389
RF,chatgpt,f1,66.8905,1.4214
RF,chatgpt,auc,75.2325,0.2769
RF,gemini,acc,79.1623,0.3918
RF,gemini,f1,79.8164,0.3598
RF,gemini,auc,79.7707,0.4251
